title,metadataStatus,ingestStatus,status,project,sqlVolume,libServerDirectory,primaryIslandoraLocation,secondaryIslandoraLocation,pid,essss,images,ingestDate,latestMetadataUpdate,modified,lastModifiedBadFormat,notes
"Livro de Casamentos de Escravos, 1756-1809",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 001.1,ESSSS/Brazil/Rio de Janeiro/Itaboraí/Igreja Matriz de Santo Antônio de Sá,,essss:40771,40771,316,09/20/17,,2017-09-20T00:00:00Z,09/20/17,pdf in n_o
"Livro de Testamentos e Óbitos de Livres, 1770-1791",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 002.1,ESSSS/Brazil/Rio de Janeiro/Itaboraí/Igreja e Convento de São Boaventura de Santo Antônio de Sá,,essss:40772,40772,25,09/20/17,,2017-09-20T00:00:00Z,09/20/17,pdf in n_o
"Livro de Óbitos e Casamentos de Escravos, 1675-1754",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 003.1,ESSSS/Brazil/Rio de Janeiro/Cachoeiras de Macacu/Igreja da Santíssima Trindade de Papucaia,,essss:40773,40773,61,09/20/17,,2017-09-20T00:00:00Z,09/20/17,pdf in n_o
"Livro de Batismos e Casamentos Mistos, 1650-1803",Metadata uploaded,Ingested,Metadata being generated,NEH,242,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 004.1,ESSSS/Brazil/Rio de Janeiro/Cachoeiras de Macacu/Igreja da Santíssima Trindade de Papucaia,,essss:38963,38963,121,09/20/17,,2017-09-20T00:00:00Z,09/20/17,pdf in n_o
"Livro de Óbitos e Testamentos de Livres, 1796-1801",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 005.1,ESSSS/Brazil/Rio de Janeiro/Itaboraí/Igreja e Convento de São Boaventura de Santo Antônio de Sá,,essss:40926,40926,33,09/20/17,,2017-09-20T00:00:00Z,09/20/17,pdf in n_o
"Livro de Testamentos e Óbitos de Livres, 1779-1792",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 006.1,ESSSS/Brazil/Rio de Janeiro/Itaboraí/Igreja e Convento de São Boaventura de Santo Antônio de Sá,,essss:41210,41210,65,09/21/17,,2017-09-21T00:00:00Z,09/21/17,pdf in n_o
"Livro de Batismo de Livres, 1772-1777",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 007.1,ESSSS/Brazil/Rio de Janeiro/Cachoeiras de Macacu/Igreja da Santíssima Trindade de Papucaia,,essss:41211,41211,9,09/21/17,1/20/18,2018-01-20T00:00:00Z,1/20/18,pdf in n_o
"Livro de Testamentos e Óbitos de Livres, 1748-1759",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 008.1,ESSSS/Brazil/Rio de Janeiro/Itaboraí,,essss:41212,41212,67,09/21/17,,2017-09-21T00:00:00Z,09/21/17,pdf in n_o
"Livro de Obitos e Testamentos de Livres e Escravos, 1723-1739",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 009.1,ESSSS/Brazil/Rio de Janeiro/Itaboraí/Igreja e Convento de São Boaventura de Santo Antônio de Sá,,essss:41213,41213,234,09/21/17,,2017-09-21T00:00:00Z,09/21/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Óbitos de Escravos e Livres, 1743-1747",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 010.1,ESSSS/Brazil/Rio de Janeiro/Itaboraí/Igreja e Convento de São Boaventura de Santo Antônio de Sá,,essss:41214,41214,5,09/21/17,2/1/18,2018-02-01T00:00:00Z,2/1/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Casamentos de Escravos Avulsos, 1741-1745",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 011.1,ESSSS/Brazil/Rio de Janeiro/Itaboraí/Igreja Matriz de Santo Antônio de Sá,,essss:41601,41601,13,09/21/17,02/01/18,2018-02-01T00:00:00Z,02/01/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Termo de Abertura, Livro de Óbitos, 1744]",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 012.1,ESSSS/Brazil/Rio de Janeiro/Cachoeiras de Macacu/Igreja da Santíssima Trindade de Papucaia,,essss:41602,41602,3,09/21/17,02/01/18,2018-02-01T00:00:00Z,02/01/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Batismos de Escravos Avulsos, 1722-1724, 1745-1746]",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 013.1,ESSSS/Brazil/Rio de Janeiro/Itaboraí/Igreja Matriz de Santo Antônio de Sá,,essss:41603,41603,25,09/21/17,02/01/18,2018-02-01T00:00:00Z,02/01/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Livro de Casamentos de Escravos e Livres, 1754-1805]",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 014.1,ESSSS/Brazil/Rio de Janeiro/Itaboraí/Igreja Matriz de Santo Antônio de Sá,,essss:41604,41604,370,09/22/17,02/01/18,2018-02-01T00:00:00Z,02/01/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Óbitos e Testamentos Avulsos, 1714-1715]",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 015.1,ESSSS/Brazil/Rio de Janeiro/Itaboraí/Igreja e Convento de São Boaventura de Santo Antônio de Sá,,essss:41605,41605,11,09/21/17,02/01/18,2018-02-01T00:00:00Z,02/01/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Livro de Batismos Avulsos, 1753-1867]",Metadata uploaded,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 016.1,ESSSS/Brazil/Rio de Janeiro/Antônio de Sá/Igreja Matriz,ESSSS/Brazi/Rio de Janeiro/Itaboraí/Igreja Matriz de Santo Antônio de Sá,essss:42028,42028,135,09/22/17,02/05/18,2018-02-05T00:00:00Z,02/05/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Óbitos e testamentos de livres avulsos, 1750-1798]",Metadata uploaded,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 017.1,ESSSS/Brazil/Rio de Janeiro/Antônio de Sá/Igreja e Convento de São Boaventura,ESSSS/Brazil/Rio de Janeiro/Itaboraí/Igreja e Convento de São Boaventura de Santo Antônio de Sá,essss:42029,42029,79,09/22/17,02/05/18,2018-02-05T00:00:00Z,02/05/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Livro de Batismos de Livres, 1762-1764]",Metadata uploaded,Ingested,Ingested with no/minimal metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 018.1,ESSSS/Brazil/Rio de Janeiro/Antônio de Sá/Capela de São José da Boa Morte,ESSSS/Brazil/Rio de Janeiro/Cachoeiras de Macacu/Igreja de São Jose da Boa Morte de Santo Antônio de Sá,essss:42030,42030,597,09/22/17,02/05/18,2018-02-05T00:00:00Z,02/05/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Livro de Batismos de Escravos, 1763-1807]",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antônio de Sa 019.1,ESSSS/Brazil/Rio de Janeiro/Cachoeiras de Macacu/Igreja de São Jose da Boa Morte de Santo Antônio de Sá,,essss:42031,42031,542,09/22/17,02/01/18,2018-02-01T00:00:00Z,02/01/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Testamentos, 1842 - 1862",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Antônio de Sá\Antonio de Sa 020.1,ESSSS/Brazil/Rio de Janeiro/Cachoeiras de Macacu/Paróquia de Sant'Anna de Japuíba,,essss:42032,42032,196,09/22/17,,2017-09-22T00:00:00Z,09/22/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Casamentos de Livres, 1860-1868",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Araruama\Araruama 001.1,ESSSS/Brazil/Rio de Janeiro/Araruama/Igreja de São Sebastião de Araurama,,essss:44283,44283,122,09/26/17,1/29/18,2018-01-29T00:00:00Z,1/29/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Compromiso da Irmandade do Santíssimo Sacramento e São Sebastião de Araruama, 1866",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Araruama\Araruama 002.1,ESSSS/Brazil/Rio de Janeiro/Araruama/Igreja de São Sebastião de Araurama,,essss:44284,44284,14,09/26/17,01/29/18,2018-01-29T00:00:00Z,01/29/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Batismos, 1881-1887",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Araruama\Araruama 003.1,ESSSS/Brazil/Rio de Janeiro/Araruama/Igreja de São Sebastião de Araurama,,essss:44285,44285,397,09/26/17,01/29/18,2018-01-29T00:00:00Z,01/29/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Batismos, 1871-1872",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Araruama\Araruama 006.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:44819,44819,8,09/26/17,01/31/18,2018-01-31T00:00:00Z,01/31/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"[Livro de Batismos Mistos, 1872-1876]",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Araruama\Araruama 007.1,ESSSS/Brazil/Rio de Janeiro/Araruama/Igreja de São Sebastião de Araurama,,essss:44820,44820,171,09/26/17,02/05/18,2018-02-05T00:00:00Z,02/05/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Batismos Mistos, 1872-1876",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Araruama\Araruama 008.1,ESSSS/Brazil/Rio de Janeiro/Araruama/Igreja de São Sebastião de Araurama,,essss:45000,45000,145,09/26/17,01/31/18,2018-01-31T00:00:00Z,01/31/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Óbitos de Filhos Nascidos depois da Lei do Ventre Livre, 1871-1887",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Araruama\Araruama 009.1,ESSSS/Brazil/Rio de Janeiro/Araruama/Cemitério Público de Iguaba,,essss:45001,45001,187,09/26/17,01/31/18,2018-01-31T00:00:00Z,01/31/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Batismo de Escravos, 1768-1791",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Bonito\Bonito 001.1,ESSSS/Brazil/Rio de Janeiro/Rio Bonito/Nossa Senhora da Conceição do Rio Bonito,,essss:43583,43583,271,09/27/17,1/20/18,2018-01-20T00:00:00Z,1/20/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de Batismo de Livres, 1768-1789",Metadata uploaded,Ingested,Metadata being generated,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Bonito\Bonito 003.1,ESSSS/Brazil/Rio de Janeiro/Rio Bonito/Nossa Senhora da Conceição do Rio Bonito,,essss:43619,43619,424,09/26/17,1/20/18,2018-01-20T00:00:00Z,1/20/18,pdf in n_o; first half out of focus
"Batismos de Brancos, Pardos, e Pretos, Livres e Escravos, 1853 - 1859",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Buzios\Cabo Frio 010.1,ESSSS/Brazil/Rio de Janeiro/Búzios/Igreja Sant'Anna,,essss:288370,288370,598,02/21/18,02/21/18,2018-02-21T00:00:00Z,02/21/18,
"Livro de testamentos e óbitos misto, 1798-1813",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 001.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:380721,380721,293,05/03/18,,2018-05-03T00:00:00Z,05/03/18,pdf in n_o
"Livro de batismos, casamentos, e óbitos de livres e escravos, 1699-1733",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 002.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:380509,380509,68,05/03/18,,2018-05-03T00:00:00Z,05/03/18,pdf in n_o
"Livro dos assentos dos cazamentos das pessoas brancas e pretas desta vigaria da cidade da Assumção de Cabo Frio, 1675-1736",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 003.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:380578,380578,142,05/03/18,,2018-05-03T00:00:00Z,05/03/18,no pdf; pdf in n_o
"[Livro de óbitos e testamentos de livres e escravos, 1678-1729]",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 004.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:381015,381015,151,05/04/18,,2018-05-04T00:00:00Z,05/04/18,no pdf; pdf in n_o
"Livro de óbitos dos filhos de escravas nascidos após a Lei do Ventre Livre, 1871-1887",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 005.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:381769,381769,89,05/04/18,,2018-05-04T00:00:00Z,05/04/18,pdf in n_o
"Livro de óbitos de livres e escravos, 1854-1864",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 006.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:381167,381167,601,05/04/18,,2018-05-04T00:00:00Z,05/04/18,no pdf
"[Livro de batismos de livres e escravos, 1711-1719]",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 007.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:383464,383464,9,05/05/18,,2018-05-05T00:00:00Z,05/05/18,pdf in n_o
"[Livro de batismos de livres e escravos, 1803-1820]",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 008.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:382670,382670,793,05/05/18,,2018-05-05T00:00:00Z,05/05/18,no pdf
"[Livro de batismos de livres e escravos, 1827-1849]",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 009.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:381859,381859,810,05/05/18,,2018-05-05T00:00:00Z,05/05/18,
"Óbitos de Brancos, Pardos, e Pretos, Livres e Escravos, 1882 - 1944",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 011.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:384505,384505,433,05/10/18,,2018-05-10T00:00:00Z,05/10/18,
"Casamentos de Livres e Escravos, 1816 - 1849",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 012.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:384246,384246,258,05/10/18,,2018-05-10T00:00:00Z,05/10/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Batismos de Filhos de Mulher Escrava, 1871 - 1887",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 013.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:384939,384939,309,05/10/18,,2018-05-10T00:00:00Z,05/10/18,pdf in n_o
"Casamentos de Brancos, Pardos, e Pretos Livres, 1867 - 1879",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 014.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:387507,387507,197,05/10/18,,2018-05-10T00:00:00Z,05/10/18,pdf in n_o
"Óbitos de Escravos e Livres, 1816 - 1835",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 015.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:387395,387395,111,05/10/18,,2018-05-10T00:00:00Z,05/10/18,no pdf; pdf in n_o
"Casamentos de Brancos, 1849 - 1867",Metadata uploaded,Ingested,,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Cabo Frio\Cabo Frio 016.1,ESSSS/Brazil/Rio de Janeiro/Cabo Frio/Igreja de Nossa Senhora da Assunção,,essss:386997,386997,397,05/10/18,,2018-05-10T00:00:00Z,05/10/18,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
"Livro de batismos de livres, 1774-1787",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Campos\Campos 001,ESSSS/Brazil/Rio de Janeiro/Campos dos Goytacazes/São Gonçalo-Goitacazes,,essss:38558,38558,330,09/18/17,9/17/17,2017-09-17T00:00:00Z,9/17/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o"
